Title,Artist,Rank,Weeks,PeakPos,Date
Relationship,Young Thug Featuring Future,66,10,65,2017-10-26
Heartache On The Dance Floor,Jon Pardi,67,17,47,2017-10-26
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",68,20,44,2017-10-26
All The Pretty Girls,Kenny Chesney,69,13,63,2017-10-26
Love So Soft,Kelly Clarkson,70,7,57,2017-10-26
Dusk Till Dawn,Zayn Featuring Sia,71,7,44,2017-10-26
Heaven,Kane Brown,72,1,72,2017-10-26
Friends,Justin Bieber + BloodPop,73,10,20,2017-10-26
F**k Love,XXXTentacion Featuring Trippie Redd,74,9,41,2017-10-26
Light It Up,Luke Bryan,75,9,64,2017-10-26
Escapate Conmigo,Wisin Featuring Ozuna,76,20,63,2017-10-26
More Girls Like You,Kip Moore,77,11,66,2017-10-26
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",78,18,20,2017-10-26
They Don't Know,Jason Aldean,79,12,67,2017-10-26
B.E.D.,Jacquees,80,12,69,2017-10-26
Fix A Drink,Chris Janson,81,9,69,2017-10-26
I'll Name The Dogs,Blake Shelton,82,7,70,2017-10-26
I Could Use A Love Song,Maren Morris,83,10,83,2017-10-26
Like I Loved You,Brett Young,84,5,67,2017-10-26
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,85,5,73,2017-10-26
Plain Jane,A$AP Ferg,86,5,55,2017-10-26
Sauce It Up,Lil Uzi Vert,87,9,49,2017-10-26
Go Flex,Post Malone,88,6,76,2017-10-26
Questions,Chris Brown,89,9,84,2017-10-26
Sky Walker,Miguel Featuring Travis Scott,90,5,80,2017-10-26
Dear Hate,Maren Morris Featuring Vince Gill,91,1,91,2017-10-26
Losing Sleep,Chris Young,92,5,63,2017-10-26
No Promises,A Boogie Wit da Hoodie,93,2,74,2017-10-26
Say A',A Boogie Wit da Hoodie,94,2,75,2017-10-26
Lights Down Low,MAX Featuring gnash,95,3,90,2017-10-26
Round Here Buzz,Eric Church,96,5,86,2017-10-26
Too Hotty,"Quality Control Featuring Quavo, Takeoff & Offset",97,3,91,2017-10-26
DNA,BTS,98,4,67,2017-10-26
Smooth,Florida Georgia Line,99,4,91,2017-10-26
Do I Make You Wanna,Billy Currington,100,19,47,2017-10-26
Bodak Yellow (Money Moves),Cardi B,1,17,1,2017-10-21
Rockstar,Post Malone Featuring 21 Savage,2,6,1,2017-10-21
Mi Gente,J Balvin & Willy William Featuring Beyonce,3,17,3,2017-10-21
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,4,26,3,2017-10-21
Look What You Made Me Do,Taylor Swift,5,10,1,2017-10-21
Feel It Still,Portugal. The Man,6,19,4,2017-10-21
Thunder,Imagine Dragons,7,26,5,2017-10-21
Sorry Not Sorry,Demi Lovato,8,16,6,2017-10-21
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,9,41,1,2017-10-21
Unforgettable,French Montana Featuring Swae Lee,10,29,3,2017-10-21
Believer,Imagine Dragons,11,38,4,2017-10-21
Rake It Up,Yo Gotti Featuring Nicki Minaj,12,17,8,2017-10-21
Too Good At Goodbyes,Sam Smith,13,7,5,2017-10-21
Strip That Down,Liam Payne Featuring Quavo,14,23,10,2017-10-21
Attention,Charlie Puth,15,27,5,2017-10-21
Bank Account,21 Savage,16,16,12,2017-10-21
There's Nothing Holdin' Me Back,Shawn Mendes,17,27,6,2017-10-21
Slow Hands,Niall Horan,18,26,11,2017-10-21
What Lovers Do,Maroon 5 Featuring SZA,19,9,12,2017-10-21
Shape Of You,Ed Sheeran,20,42,1,2017-10-21
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,21,19,2,2017-10-21
Humble.,Kendrick Lamar,22,30,1,2017-10-21
That's What I Like,Bruno Mars,23,41,1,2017-10-21
I Get The Bag,Gucci Mane Featuring Migos,24,10,11,2017-10-21
What About Us,P!nk,25,12,13,2017-10-21
Praying,Kesha,26,16,22,2017-10-21
Young Dumb & Broke,Khalid,27,15,25,2017-10-21
What Ifs,Kane Brown Featuring Lauren Alaina,28,20,26,2017-10-21
Havana,Camila Cabello Featuring Young Thug,29,11,7,2017-10-21
XO TOUR Llif3,Lil Uzi Vert,30,31,7,2017-10-21
Body Like A Back Road,Sam Hunt,31,39,6,2017-10-21
Something Just Like This,The Chainsmokers & Coldplay,32,36,3,2017-10-21
Love Galore,SZA Featuring Travis Scott,33,20,32,2017-10-21
Perfect,Ed Sheeran,34,9,10,2017-10-21
Congratulations,Post Malone Featuring Quavo,35,44,8,2017-10-21
Location,Khalid,36,42,16,2017-10-21
Say You Won't Let Go,James Arthur,37,52,11,2017-10-21
No Promises,Cheat Codes Featuring Demi Lovato,38,23,38,2017-10-21
I Fall Apart,Post Malone,39,5,28,2017-10-21
When It Rains It Pours,Luke Combs,40,13,33,2017-10-21
Do Re Mi,Blackbear,41,20,40,2017-10-21
New Rules,Dua Lipa,42,13,34,2017-10-21
Small Town Boy,Dustin Lynch,43,20,36,2017-10-21
Loyalty.,Kendrick Lamar Featuring Rihanna,44,26,14,2017-10-21
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,45,18,45,2017-10-21
Gucci Gang,Lil Pump,46,7,14,2017-10-21
...Ready For It?,Taylor Swift,47,8,4,2017-10-21
The Weekend,SZA,48,13,44,2017-10-21
Bad At Love,Halsey,49,8,31,2017-10-21
Redbone,Childish Gambino,50,44,12,2017-10-21
Unforgettable,Thomas Rhett,51,13,47,2017-10-21
Butterfly Effect,Travis Scott,52,22,51,2017-10-21
Silence,Marshmello Featuring Khalid,53,11,42,2017-10-21
Friends,Justin Bieber + BloodPop,54,10,20,2017-10-21
Glorious,Macklemore Featuring Skylar Grey,55,16,49,2017-10-21
Roll In Peace,Kodak Black Featuring XXXTENTACION,56,10,53,2017-10-21
The Way Life Goes,Lil Uzi Vert,57,9,39,2017-10-21
The Race,Tay-K,58,12,44,2017-10-21
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,59,7,30,2017-10-21
Transportin',Kodak Black,60,10,46,2017-10-21
Heartache On The Dance Floor,Jon Pardi,61,17,47,2017-10-21
Jocelyn Flores,XXXTentacion,62,9,31,2017-10-21
All The Pretty Girls,Kenny Chesney,63,13,63,2017-10-21
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",64,20,44,2017-10-21
Greatest Love Story,LANCO,65,8,51,2017-10-21
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",66,18,20,2017-10-21
They Don't Know,Jason Aldean,67,12,67,2017-10-21
Hi Bich,Bhad Bhabie,68,1,68,2017-10-21
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",69,7,54,2017-10-21
Dusk Till Dawn,Zayn Featuring Sia,70,7,44,2017-10-21
Every Little Thing,Carly Pearce,71,13,50,2017-10-21
Love So Soft,Kelly Clarkson,72,7,57,2017-10-21
F**k Love,XXXTentacion Featuring Trippie Redd,73,9,41,2017-10-21
No Promises,A Boogie Wit da Hoodie,74,2,74,2017-10-21
Say A',A Boogie Wit da Hoodie,75,2,75,2017-10-21
Escapate Conmigo,Wisin Featuring Ozuna,76,20,63,2017-10-21
B.E.D.,Jacquees,77,12,69,2017-10-21
Relationship,Young Thug Featuring Future,78,10,65,2017-10-21
Sauce It Up,Lil Uzi Vert,79,9,49,2017-10-21
Light It Up,Luke Bryan,80,9,64,2017-10-21
More Girls Like You,Kip Moore,81,11,66,2017-10-21
Fix A Drink,Chris Janson,82,9,69,2017-10-21
I'll Name The Dogs,Blake Shelton,83,7,70,2017-10-21
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,84,1,84,2017-10-21
I Could Use A Love Song,Maren Morris,85,10,83,2017-10-21
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,86,1,86,2017-10-21
DNA,BTS,87,4,67,2017-10-21
It Ain't My Fault,Brothers Osborne,88,16,79,2017-10-21
Questions,Chris Brown,89,9,84,2017-10-21
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,90,5,73,2017-10-21
Like I Loved You,Brett Young,91,5,67,2017-10-21
No Such Thing As A Broken Heart,Old Dominion,92,19,46,2017-10-21
Do I Make You Wanna,Billy Currington,93,19,47,2017-10-21
Losing Sleep,Chris Young,94,5,63,2017-10-21
Go Flex,Post Malone,95,6,76,2017-10-21
Sky Walker,Miguel Featuring Travis Scott,96,5,80,2017-10-21
Plain Jane,A$AP Ferg,97,5,55,2017-10-21
Smooth,Florida Georgia Line,98,4,91,2017-10-21
Round Here Buzz,Eric Church,99,5,86,2017-10-21
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,100,13,51,2017-10-21
Bodak Yellow (Money Moves),Cardi B,1,17,1,2017-10-14
Rockstar,Post Malone Featuring 21 Savage,2,6,1,2017-10-14
Look What You Made Me Do,Taylor Swift,3,10,1,2017-10-14
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,4,26,3,2017-10-14
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,5,41,1,2017-10-14
Unforgettable,French Montana Featuring Swae Lee,6,29,3,2017-10-14
Feel It Still,Portugal. The Man,7,19,4,2017-10-14
Believer,Imagine Dragons,8,38,4,2017-10-14
Rake It Up,Yo Gotti Featuring Nicki Minaj,9,17,8,2017-10-14
Sorry Not Sorry,Demi Lovato,10,16,6,2017-10-14
Attention,Charlie Puth,11,27,5,2017-10-14
Strip That Down,Liam Payne Featuring Quavo,12,23,10,2017-10-14
Slow Hands,Niall Horan,13,26,11,2017-10-14
Too Good At Goodbyes,Sam Smith,14,7,5,2017-10-14
Bank Account,21 Savage,15,16,12,2017-10-14
There's Nothing Holdin' Me Back,Shawn Mendes,16,27,6,2017-10-14
Thunder,Imagine Dragons,17,26,5,2017-10-14
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,18,19,2,2017-10-14
Shape Of You,Ed Sheeran,19,42,1,2017-10-14
What Lovers Do,Maroon 5 Featuring SZA,20,9,12,2017-10-14
Mi Gente,J Balvin & Willy William Featuring Beyonce,21,17,3,2017-10-14
That's What I Like,Bruno Mars,22,41,1,2017-10-14
I Get The Bag,Gucci Mane Featuring Migos,23,10,11,2017-10-14
Praying,Kesha,24,16,22,2017-10-14
Young Dumb & Broke,Khalid,25,15,25,2017-10-14
Body Like A Back Road,Sam Hunt,26,39,6,2017-10-14
XO TOUR Llif3,Lil Uzi Vert,27,31,7,2017-10-14
Humble.,Kendrick Lamar,28,30,1,2017-10-14
What About Us,P!nk,29,12,13,2017-10-14
Something Just Like This,The Chainsmokers & Coldplay,30,36,3,2017-10-14
What Ifs,Kane Brown Featuring Lauren Alaina,31,20,26,2017-10-14
Love Galore,SZA Featuring Travis Scott,32,20,32,2017-10-14
Location,Khalid,33,42,16,2017-10-14
Say You Won't Let Go,James Arthur,34,52,11,2017-10-14
Congratulations,Post Malone Featuring Quavo,35,44,8,2017-10-14
Friends,Justin Bieber + BloodPop,36,10,20,2017-10-14
Small Town Boy,Dustin Lynch,37,20,36,2017-10-14
Loyalty.,Kendrick Lamar Featuring Rihanna,38,26,14,2017-10-14
...Ready For It?,Taylor Swift,39,8,4,2017-10-14
When It Rains It Pours,Luke Combs,40,13,33,2017-10-14
No Promises,Cheat Codes Featuring Demi Lovato,41,23,38,2017-10-14
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",42,22,1,2017-10-14
Redbone,Childish Gambino,43,44,12,2017-10-14
Havana,Camila Cabello Featuring Young Thug,44,11,7,2017-10-14
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,45,18,45,2017-10-14
Do Re Mi,Blackbear,46,20,40,2017-10-14
Stay,Zedd & Alessia Cara,47,31,7,2017-10-14
New Rules,Dua Lipa,48,13,34,2017-10-14
Glorious,Macklemore Featuring Skylar Grey,49,16,49,2017-10-14
The Weekend,SZA,50,13,44,2017-10-14
Unforgettable,Thomas Rhett,51,13,47,2017-10-14
Gucci Gang,Lil Pump,52,7,14,2017-10-14
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",53,18,20,2017-10-14
Butterfly Effect,Travis Scott,54,22,51,2017-10-14
Silence,Marshmello Featuring Khalid,55,11,42,2017-10-14
Heartache On The Dance Floor,Jon Pardi,56,17,47,2017-10-14
Bad At Love,Halsey,57,8,31,2017-10-14
Perfect,Ed Sheeran,58,9,10,2017-10-14
The Race,Tay-K,59,12,44,2017-10-14
The Way Life Goes,Lil Uzi Vert,60,9,39,2017-10-14
Roll In Peace,Kodak Black Featuring XXXTENTACION,61,10,53,2017-10-14
Transportin',Kodak Black,62,10,46,2017-10-14
All The Pretty Girls,Kenny Chesney,63,13,63,2017-10-14
Jocelyn Flores,XXXTentacion,64,9,31,2017-10-14
I Fall Apart,Post Malone,65,5,28,2017-10-14
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",66,20,44,2017-10-14
DNA,BTS,67,4,67,2017-10-14
F**k Love,XXXTentacion Featuring Trippie Redd,68,9,41,2017-10-14
Dusk Till Dawn,Zayn Featuring Sia,69,7,44,2017-10-14
Good Old Days,Macklemore Featuring Kesha,70,1,70,2017-10-14
Greatest Love Story,LANCO,71,8,51,2017-10-14
Every Little Thing,Carly Pearce,72,13,50,2017-10-14
They Don't Know,Jason Aldean,73,12,67,2017-10-14
Love So Soft,Kelly Clarkson,74,7,57,2017-10-14
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",75,7,54,2017-10-14
Escapate Conmigo,Wisin Featuring Ozuna,76,20,63,2017-10-14
B.E.D.,Jacquees,77,12,69,2017-10-14
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,78,7,30,2017-10-14
Sauce It Up,Lil Uzi Vert,79,9,49,2017-10-14
Felices Los 4,Maluma,80,20,48,2017-10-14
Fix A Drink,Chris Janson,81,9,69,2017-10-14
Light It Up,Luke Bryan,82,9,64,2017-10-14
I'll Name The Dogs,Blake Shelton,83,7,70,2017-10-14
More Girls Like You,Kip Moore,84,11,66,2017-10-14
No Such Thing As A Broken Heart,Old Dominion,85,19,46,2017-10-14
I Could Use A Love Song,Maren Morris,86,10,83,2017-10-14
Relationship,Young Thug Featuring Future,87,10,65,2017-10-14
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,88,10,40,2017-10-14
It Ain't My Fault,Brothers Osborne,89,16,79,2017-10-14
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,90,13,51,2017-10-14
Questions,Chris Brown,91,9,84,2017-10-14
Curve,Gucci Mane Featuring The Weeknd,92,3,67,2017-10-14
Do I Make You Wanna,Billy Currington,93,19,47,2017-10-14
Losing Sleep,Chris Young,94,5,63,2017-10-14
Like I Loved You,Brett Young,95,5,67,2017-10-14
Fetish,Selena Gomez Featuring Gucci Mane,96,12,27,2017-10-14
Round Here Buzz,Eric Church,97,5,86,2017-10-14
Plain Jane,A$AP Ferg,98,5,55,2017-10-14
Wish I Knew You,The Revivalists,99,9,84,2017-10-14
Go Flex,Post Malone,100,6,76,2017-10-14
Bodak Yellow (Money Moves),Cardi B,1,17,1,2017-10-07
Rockstar,Post Malone Featuring 21 Savage,2,6,1,2017-10-07
Look What You Made Me Do,Taylor Swift,3,10,1,2017-10-07
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,4,26,3,2017-10-07
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,5,41,1,2017-10-07
Unforgettable,French Montana Featuring Swae Lee,6,29,3,2017-10-07
Believer,Imagine Dragons,7,38,4,2017-10-07
Rake It Up,Yo Gotti Featuring Nicki Minaj,8,17,8,2017-10-07
Attention,Charlie Puth,9,27,5,2017-10-07
Feel It Still,Portugal. The Man,10,19,4,2017-10-07
Slow Hands,Niall Horan,11,26,11,2017-10-07
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,12,19,2,2017-10-07
Strip That Down,Liam Payne Featuring Quavo,13,23,10,2017-10-07
There's Nothing Holdin' Me Back,Shawn Mendes,14,27,6,2017-10-07
Sorry Not Sorry,Demi Lovato,15,16,6,2017-10-07
Too Good At Goodbyes,Sam Smith,16,7,5,2017-10-07
Bank Account,21 Savage,17,16,12,2017-10-07
Shape Of You,Ed Sheeran,18,42,1,2017-10-07
Mi Gente,J Balvin & Willy William Featuring Beyonce,19,17,3,2017-10-07
That's What I Like,Bruno Mars,20,41,1,2017-10-07
XO TOUR Llif3,Lil Uzi Vert,21,31,7,2017-10-07
I Get The Bag,Gucci Mane Featuring Migos,22,10,11,2017-10-07
What Lovers Do,Maroon 5 Featuring SZA,23,9,12,2017-10-07
Body Like A Back Road,Sam Hunt,24,39,6,2017-10-07
Humble.,Kendrick Lamar,25,30,1,2017-10-07
What About Us,P!nk,26,12,13,2017-10-07
Young Dumb & Broke,Khalid,27,15,25,2017-10-07
Praying,Kesha,28,16,22,2017-10-07
Something Just Like This,The Chainsmokers & Coldplay,29,36,3,2017-10-07
Thunder,Imagine Dragons,30,26,5,2017-10-07
Location,Khalid,31,42,16,2017-10-07
What Ifs,Kane Brown Featuring Lauren Alaina,32,20,26,2017-10-07
Love Galore,SZA Featuring Travis Scott,33,20,32,2017-10-07
...Ready For It?,Taylor Swift,34,8,4,2017-10-07
Friends,Justin Bieber + BloodPop,35,10,20,2017-10-07
Congratulations,Post Malone Featuring Quavo,36,44,8,2017-10-07
Say You Won't Let Go,James Arthur,37,52,11,2017-10-07
Redbone,Childish Gambino,38,44,12,2017-10-07
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",39,22,1,2017-10-07
Small Town Boy,Dustin Lynch,40,20,36,2017-10-07
Loyalty.,Kendrick Lamar Featuring Rihanna,41,26,14,2017-10-07
Stay,Zedd & Alessia Cara,42,31,7,2017-10-07
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",43,18,20,2017-10-07
When It Rains It Pours,Luke Combs,44,13,33,2017-10-07
No Promises,Cheat Codes Featuring Demi Lovato,45,23,38,2017-10-07
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,46,18,45,2017-10-07
Heartache On The Dance Floor,Jon Pardi,47,17,47,2017-10-07
Mask Off,Future,48,31,5,2017-10-07
Unforgettable,Thomas Rhett,49,13,47,2017-10-07
Jocelyn Flores,XXXTentacion,50,9,31,2017-10-07
Do Re Mi,Blackbear,51,20,40,2017-10-07
The Weekend,SZA,52,13,44,2017-10-07
New Rules,Dua Lipa,53,13,34,2017-10-07
The Race,Tay-K,54,12,44,2017-10-07
Transportin',Kodak Black,55,10,46,2017-10-07
Silence,Marshmello Featuring Khalid,56,11,42,2017-10-07
Butterfly Effect,Travis Scott,57,22,51,2017-10-07
The Way Life Goes,Lil Uzi Vert,58,9,39,2017-10-07
Roll In Peace,Kodak Black Featuring XXXTENTACION,59,10,53,2017-10-07
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",60,20,44,2017-10-07
Bad At Love,Halsey,61,8,31,2017-10-07
Glorious,Macklemore Featuring Skylar Grey,62,16,49,2017-10-07
Dusk Till Dawn,Zayn Featuring Sia,63,7,44,2017-10-07
Havana,Camila Cabello Featuring Young Thug,64,11,7,2017-10-07
F**k Love,XXXTentacion Featuring Trippie Redd,65,9,41,2017-10-07
Too Much To Ask,Niall Horan,66,2,66,2017-10-07
Curve,Gucci Mane Featuring The Weeknd,67,3,67,2017-10-07
All The Pretty Girls,Kenny Chesney,68,13,63,2017-10-07
Sauce It Up,Lil Uzi Vert,69,9,49,2017-10-07
Escapate Conmigo,Wisin Featuring Ozuna,70,20,63,2017-10-07
Gucci Gang,Lil Pump,71,7,14,2017-10-07
Felices Los 4,Maluma,72,20,48,2017-10-07
B.E.D.,Jacquees,73,12,69,2017-10-07
They Don't Know,Jason Aldean,74,12,67,2017-10-07
Greatest Love Story,LANCO,75,8,51,2017-10-07
Every Little Thing,Carly Pearce,76,13,50,2017-10-07
No Such Thing As A Broken Heart,Old Dominion,77,19,46,2017-10-07
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,78,10,40,2017-10-07
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",79,7,54,2017-10-07
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,80,13,51,2017-10-07
Love So Soft,Kelly Clarkson,81,7,57,2017-10-07
Relationship,Young Thug Featuring Future,82,10,65,2017-10-07
More Girls Like You,Kip Moore,83,11,66,2017-10-07
Questions,Chris Brown,84,9,84,2017-10-07
DNA,BTS,85,4,67,2017-10-07
Light It Up,Luke Bryan,86,9,64,2017-10-07
Fetish,Selena Gomez Featuring Gucci Mane,87,12,27,2017-10-07
I'll Name The Dogs,Blake Shelton,88,7,70,2017-10-07
Perfect,Ed Sheeran,89,9,10,2017-10-07
I Could Use A Love Song,Maren Morris,90,10,83,2017-10-07
It Ain't My Fault,Brothers Osborne,91,16,79,2017-10-07
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",92,1,92,2017-10-07
Drinkin' Problem,Midland,93,20,45,2017-10-07
Fix A Drink,Chris Janson,94,9,69,2017-10-07
Do I Make You Wanna,Billy Currington,95,19,47,2017-10-07
Everybody Dies In Their Nightmares,XXXTentacion,96,4,54,2017-10-07
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,97,7,30,2017-10-07
These Heaux,Bhad Bhabie,98,3,77,2017-10-07
Wish I Knew You,The Revivalists,99,9,84,2017-10-07
No Complaints,Metro Boomin Featuring Offset & Drake,100,5,71,2017-10-07
Look What You Made Me Do,Taylor Swift,1,10,1,2017-09-30
Bodak Yellow (Money Moves),Cardi B,2,17,1,2017-09-30
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,26,3,2017-09-30
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,4,41,1,2017-09-30
Too Good At Goodbyes,Sam Smith,5,7,5,2017-09-30
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,6,19,2,2017-09-30
Unforgettable,French Montana Featuring Swae Lee,7,29,3,2017-09-30
Attention,Charlie Puth,8,27,5,2017-09-30
Believer,Imagine Dragons,9,38,4,2017-09-30
There's Nothing Holdin' Me Back,Shawn Mendes,10,27,6,2017-09-30
Slow Hands,Niall Horan,11,26,11,2017-09-30
Strip That Down,Liam Payne Featuring Quavo,12,23,10,2017-09-30
Sorry Not Sorry,Demi Lovato,13,16,6,2017-09-30
Feel It Still,Portugal. The Man,14,19,4,2017-09-30
Bank Account,21 Savage,15,16,12,2017-09-30
Rake It Up,Yo Gotti Featuring Nicki Minaj,16,17,8,2017-09-30
Shape Of You,Ed Sheeran,17,42,1,2017-09-30
That's What I Like,Bruno Mars,18,41,1,2017-09-30
Mi Gente,J Balvin & Willy William Featuring Beyonce,19,17,3,2017-09-30
XO TOUR Llif3,Lil Uzi Vert,20,31,7,2017-09-30
...Ready For It?,Taylor Swift,21,8,4,2017-09-30
Body Like A Back Road,Sam Hunt,22,39,6,2017-09-30
Humble.,Kendrick Lamar,23,30,1,2017-09-30
I Get The Bag,Gucci Mane Featuring Migos,24,10,11,2017-09-30
Praying,Kesha,25,16,22,2017-09-30
Young Dumb & Broke,Khalid,26,15,25,2017-09-30
