Title,Artist,Rank,Weeks,PeakPos,Date
Everyday We Lit,YFN Lucci Featuring PnB Rock,36,20,33,2017-07-29
Closer,The Chainsmokers Featuring Halsey,37,52,1,2017-07-29
In Case You Didn't Know,Brett Young,38,28,19,2017-07-29
iSpy,KYLE Featuring Lil Yachty,39,30,4,2017-07-29
Rolex,Ayo & Teo,40,25,20,2017-07-29
Craving You,Thomas Rhett Featuring Maren Morris,41,20,39,2017-07-29
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,42,21,38,2017-07-29
Bad And Boujee,Migos Featuring Lil Uzi Vert,43,36,1,2017-07-29
My Girl,Dylan Scott,44,20,39,2017-07-29
Slide,Calvin Harris Featuring Frank Ocean & Migos,45,20,25,2017-07-29
DNA.,Kendrick Lamar,46,20,4,2017-07-29
Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",47,1,47,2017-07-29
24K Magic,Bruno Mars,48,41,4,2017-07-29
Felices Los 4,Maluma,49,20,48,2017-07-29
Hurricane,Luke Combs,50,22,31,2017-07-29
Family Feud,JAY-Z Featuring Beyonce,51,1,51,2017-07-29
Sorry Not Sorry,Demi Lovato,52,16,6,2017-07-29
Mi Gente,J Balvin & Willy William Featuring Beyonce,53,17,3,2017-07-29
Small Town Boy,Dustin Lynch,54,20,36,2017-07-29
Kill Jay Z,JAY-Z,55,1,55,2017-07-29
Smile,JAY-Z Featuring Gloria Carter,56,1,56,2017-07-29
Versace On The Floor,Bruno Mars,57,14,33,2017-07-29
Do I Make You Wanna,Billy Currington,58,19,47,2017-07-29
First Day Out,Tee Grizzley,59,20,48,2017-07-29
Drinkin' Problem,Midland,60,20,45,2017-07-29
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,61,26,3,2017-07-29
Love Galore,SZA Featuring Travis Scott,62,20,32,2017-07-29
Caught Their Eyes,JAY-Z Featuring Frank Ocean,63,1,63,2017-07-29
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",64,20,44,2017-07-29
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,65,20,29,2017-07-29
Most Girls,Hailee Steinfeld,66,16,58,2017-07-29
Passionfruit,Drake,67,20,8,2017-07-29
Rake It Up,Yo Gotti Featuring Nicki Minaj,68,17,8,2017-07-29
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,69,19,46,2017-07-29
Thunder,Imagine Dragons,70,26,5,2017-07-29
Crying In The Club,Camila Cabello,71,9,47,2017-07-29
Escapate Conmigo,Wisin Featuring Ozuna,72,20,63,2017-07-29
No Such Thing As A Broken Heart,Old Dominion,73,19,46,2017-07-29
Loyalty.,Kendrick Lamar Featuring Rihanna,74,26,14,2017-07-29
Flatliner,Cole Swindell,75,18,56,2017-07-29
4 AM,2 Chainz Featuring Travis Scott,76,12,55,2017-07-29
Privacy,Chris Brown,77,17,62,2017-07-29
Bodak Yellow (Money Moves),Cardi B,78,17,1,2017-07-29
Every Time I Hear That Song,Blake Shelton,79,11,56,2017-07-29
Feel It Still,Portugal. The Man,80,19,4,2017-07-29
Yours If You Want It,Rascal Flatts,81,10,71,2017-07-29
Love.,Kendrick Lamar Featuring Zacari,82,20,18,2017-07-29
Signs,Drake,83,6,36,2017-07-29
The Cure,Lady Gaga,84,14,39,2017-07-29
What Ifs,Kane Brown Featuring Lauren Alaina,85,20,26,2017-07-29
Moonlight,JAY-Z,86,1,86,2017-07-29
You Look Good,Lady Antebellum,87,20,59,2017-07-29
No Promises,Cheat Codes Featuring Demi Lovato,88,23,38,2017-07-29
Glorious,Macklemore Featuring Skylar Grey,89,16,49,2017-07-29
Marcy Me,JAY-Z,90,1,90,2017-07-29
Get Low,Zedd & Liam Payne,91,1,91,2017-07-29
Fetish,Selena Gomez Featuring Gucci Mane,92,12,27,2017-07-29
Somebody Else Will,Justin Moore,93,13,59,2017-07-29
Famous,21 Savage,94,1,94,2017-07-29
Weak,AJR,95,11,73,2017-07-29
Heartache On The Dance Floor,Jon Pardi,96,17,47,2017-07-29
Butterfly Effect,Travis Scott,97,22,51,2017-07-29
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,98,18,45,2017-07-29
Reminder,The Weeknd,99,17,31,2017-07-29
Element.,Kendrick Lamar,100,11,16,2017-07-29
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,41,1,2017-07-22
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2,22,1,2017-07-22
That's What I Like,Bruno Mars,3,41,1,2017-07-22
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,4,19,2,2017-07-22
Shape Of You,Ed Sheeran,5,42,1,2017-07-22
Humble.,Kendrick Lamar,6,30,1,2017-07-22
Believer,Imagine Dragons,7,38,4,2017-07-22
Body Like A Back Road,Sam Hunt,8,39,6,2017-07-22
Congratulations,Post Malone Featuring Quavo,9,44,8,2017-07-22
Unforgettable,French Montana Featuring Swae Lee,10,29,3,2017-07-22
Stay,Zedd & Alessia Cara,11,31,7,2017-07-22
Mask Off,Future,12,31,5,2017-07-22
Something Just Like This,The Chainsmokers & Coldplay,13,36,3,2017-07-22
There's Nothing Holdin' Me Back,Shawn Mendes,14,27,6,2017-07-22
Attention,Charlie Puth,15,27,5,2017-07-22
Redbone,Childish Gambino,16,44,12,2017-07-22
XO TOUR Llif3,Lil Uzi Vert,17,31,7,2017-07-22
Now Or Never,Halsey,18,20,17,2017-07-22
Issues,Julia Michaels,19,29,11,2017-07-22
Say You Won't Let Go,James Arthur,20,52,11,2017-07-22
It Ain't Me,Kygo x Selena Gomez,21,29,10,2017-07-22
Slow Hands,Niall Horan,22,26,11,2017-07-22
Castle On The Hill,Ed Sheeran,23,33,6,2017-07-22
Location,Khalid,24,42,16,2017-07-22
Bad Liar,Selena Gomez,25,14,20,2017-07-22
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",26,18,20,2017-07-22
2U,David Guetta Featuring Justin Bieber,27,11,16,2017-07-22
Strip That Down,Liam Payne Featuring Quavo,28,23,10,2017-07-22
Slippery,Migos Featuring Gucci Mane,29,21,29,2017-07-22
Magnolia,Playboi Carti,30,20,29,2017-07-22
Malibu,Miley Cyrus,31,15,10,2017-07-22
Slide,Calvin Harris Featuring Frank Ocean & Migos,32,20,25,2017-07-22
Rolex,Ayo & Teo,33,25,20,2017-07-22
iSpy,KYLE Featuring Lil Yachty,34,30,4,2017-07-22
Everyday We Lit,YFN Lucci Featuring PnB Rock,35,20,33,2017-07-22
Closer,The Chainsmokers Featuring Halsey,36,52,1,2017-07-22
In Case You Didn't Know,Brett Young,37,28,19,2017-07-22
Bad And Boujee,Migos Featuring Lil Uzi Vert,38,36,1,2017-07-22
Craving You,Thomas Rhett Featuring Maren Morris,39,20,39,2017-07-22
24K Magic,Bruno Mars,40,41,4,2017-07-22
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,41,21,38,2017-07-22
DNA.,Kendrick Lamar,42,20,4,2017-07-22
My Girl,Dylan Scott,43,20,39,2017-07-22
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,44,20,29,2017-07-22
The Fighter,Keith Urban Featuring Carrie Underwood,45,23,38,2017-07-22
Hurricane,Luke Combs,46,22,31,2017-07-22
Goosebumps,Travis Scott,47,34,32,2017-07-22
T-Shirt,Migos,48,25,19,2017-07-22
First Day Out,Tee Grizzley,49,20,48,2017-07-22
The Cure,Lady Gaga,50,14,39,2017-07-22
Passionfruit,Drake,51,20,8,2017-07-22
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,52,19,46,2017-07-22
Crying In The Club,Camila Cabello,53,9,47,2017-07-22
Signs,Drake,54,6,36,2017-07-22
Tunnel Vision,Kodak Black,55,20,6,2017-07-22
Versace On The Floor,Bruno Mars,56,14,33,2017-07-22
Every Time I Hear That Song,Blake Shelton,57,11,56,2017-07-22
Drinkin' Problem,Midland,58,20,45,2017-07-22
Thunder,Imagine Dragons,59,26,5,2017-07-22
Small Town Boy,Dustin Lynch,60,20,36,2017-07-22
Felices Los 4,Maluma,61,20,48,2017-07-22
Do I Make You Wanna,Billy Currington,62,19,47,2017-07-22
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",63,20,44,2017-07-22
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,64,26,3,2017-07-22
4 AM,2 Chainz Featuring Travis Scott,65,12,55,2017-07-22
Privacy,Chris Brown,66,17,62,2017-07-22
Flatliner,Cole Swindell,67,18,56,2017-07-22
You Look Good,Lady Antebellum,68,20,59,2017-07-22
Love.,Kendrick Lamar Featuring Zacari,69,20,18,2017-07-22
Mi Gente,J Balvin & Willy William Featuring Beyonce,70,17,3,2017-07-22
Love Galore,SZA Featuring Travis Scott,71,20,32,2017-07-22
Loyalty.,Kendrick Lamar Featuring Rihanna,72,26,14,2017-07-22
Sign Of The Times,Harry Styles,73,13,4,2017-07-22
No Such Thing As A Broken Heart,Old Dominion,74,19,46,2017-07-22
Yours If You Want It,Rascal Flatts,75,10,71,2017-07-22
Rollin,Calvin Harris Featuring Future & Khalid,76,4,62,2017-07-22
No Complaints,Metro Boomin Featuring Offset & Drake,77,5,71,2017-07-22
Rake It Up,Yo Gotti Featuring Nicki Minaj,78,17,8,2017-07-22
What Ifs,Kane Brown Featuring Lauren Alaina,79,20,26,2017-07-22
Weak,AJR,80,11,73,2017-07-22
Feel It Still,Portugal. The Man,81,19,4,2017-07-22
No Promises,Cheat Codes Featuring Demi Lovato,82,23,38,2017-07-22
Somebody Else Will,Justin Moore,83,13,59,2017-07-22
Escapate Conmigo,Wisin Featuring Ozuna,84,20,63,2017-07-22
Bodak Yellow (Money Moves),Cardi B,85,17,1,2017-07-22
Down,Fifth Harmony Featuring Gucci Mane,86,10,42,2017-07-22
Who Dat Boy,"Tyler, The Creator",87,1,87,2017-07-22
Swish Swish,Katy Perry Featuring Nicki Minaj,88,10,46,2017-07-22
Heartache On The Dance Floor,Jon Pardi,89,17,47,2017-07-22
Portland,Drake Featuring Quavo & Travis Scott,90,16,9,2017-07-22
Reminder,The Weeknd,91,17,31,2017-07-22
Most Girls,Hailee Steinfeld,92,16,58,2017-07-22
Butterfly Effect,Travis Scott,93,22,51,2017-07-22
El Amante,Nicky Jam,94,15,92,2017-07-22
Losin Control,Russ,95,19,62,2017-07-22
Element.,Kendrick Lamar,96,11,16,2017-07-22
It Ain't My Fault,Brothers Osborne,97,16,79,2017-07-22
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,98,18,45,2017-07-22
Extra Luv,Future Featuring YG,99,1,99,2017-07-22
How Not To,Dan + Shay,100,14,57,2017-07-22
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,41,1,2017-07-15
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2,22,1,2017-07-15
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,3,19,2,2017-07-15
That's What I Like,Bruno Mars,4,41,1,2017-07-15
Shape Of You,Ed Sheeran,5,42,1,2017-07-15
Believer,Imagine Dragons,6,38,4,2017-07-15
Humble.,Kendrick Lamar,7,30,1,2017-07-15
Congratulations,Post Malone Featuring Quavo,8,44,8,2017-07-15
Mask Off,Future,9,31,5,2017-07-15
Something Just Like This,The Chainsmokers & Coldplay,10,36,3,2017-07-15
Stay,Zedd & Alessia Cara,11,31,7,2017-07-15
Body Like A Back Road,Sam Hunt,12,39,6,2017-07-15
Unforgettable,French Montana Featuring Swae Lee,13,29,3,2017-07-15
Redbone,Childish Gambino,14,44,12,2017-07-15
XO TOUR Llif3,Lil Uzi Vert,15,31,7,2017-07-15
Issues,Julia Michaels,16,29,11,2017-07-15
Say You Won't Let Go,James Arthur,17,52,11,2017-07-15
There's Nothing Holdin' Me Back,Shawn Mendes,18,27,6,2017-07-15
Now Or Never,Halsey,19,20,17,2017-07-15
It Ain't Me,Kygo x Selena Gomez,20,29,10,2017-07-15
Slow Hands,Niall Horan,21,26,11,2017-07-15
Castle On The Hill,Ed Sheeran,22,33,6,2017-07-15
Attention,Charlie Puth,23,27,5,2017-07-15
Bad Liar,Selena Gomez,24,14,20,2017-07-15
Malibu,Miley Cyrus,25,15,10,2017-07-15
Location,Khalid,26,42,16,2017-07-15
2U,David Guetta Featuring Justin Bieber,27,11,16,2017-07-15
iSpy,KYLE Featuring Lil Yachty,28,30,4,2017-07-15
Rolex,Ayo & Teo,29,25,20,2017-07-15
Magnolia,Playboi Carti,30,20,29,2017-07-15
Slippery,Migos Featuring Gucci Mane,31,21,29,2017-07-15
In Case You Didn't Know,Brett Young,32,28,19,2017-07-15
Strip That Down,Liam Payne Featuring Quavo,33,23,10,2017-07-15
Closer,The Chainsmokers Featuring Halsey,34,52,1,2017-07-15
Bad And Boujee,Migos Featuring Lil Uzi Vert,35,36,1,2017-07-15
Signs,Drake,36,6,36,2017-07-15
Everyday We Lit,YFN Lucci Featuring PnB Rock,37,20,33,2017-07-15
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,38,20,29,2017-07-15
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,39,21,38,2017-07-15
24K Magic,Bruno Mars,40,41,4,2017-07-15
DNA.,Kendrick Lamar,41,20,4,2017-07-15
Goosebumps,Travis Scott,42,34,32,2017-07-15
Hurricane,Luke Combs,43,22,31,2017-07-15
Craving You,Thomas Rhett Featuring Maren Morris,44,20,39,2017-07-15
My Girl,Dylan Scott,45,20,39,2017-07-15
The Cure,Lady Gaga,46,14,39,2017-07-15
The Fighter,Keith Urban Featuring Carrie Underwood,47,23,38,2017-07-15
First Day Out,Tee Grizzley,48,20,48,2017-07-15
T-Shirt,Migos,49,25,19,2017-07-15
Crying In The Club,Camila Cabello,50,9,47,2017-07-15
Tunnel Vision,Kodak Black,51,20,6,2017-07-15
Passionfruit,Drake,52,20,8,2017-07-15
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,53,19,46,2017-07-15
Thunder,Imagine Dragons,54,26,5,2017-07-15
Slide,Calvin Harris Featuring Frank Ocean & Migos,55,20,25,2017-07-15
Every Time I Hear That Song,Blake Shelton,56,11,56,2017-07-15
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",57,18,20,2017-07-15
Sign Of The Times,Harry Styles,58,13,4,2017-07-15
4 AM,2 Chainz Featuring Travis Scott,59,12,55,2017-07-15
Loyalty.,Kendrick Lamar Featuring Rihanna,60,26,14,2017-07-15
Drinkin' Problem,Midland,61,20,45,2017-07-15
Privacy,Chris Brown,62,17,62,2017-07-15
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",63,20,44,2017-07-15
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,64,26,3,2017-07-15
Small Town Boy,Dustin Lynch,65,20,36,2017-07-15
Felices Los 4,Maluma,66,20,48,2017-07-15
Love.,Kendrick Lamar Featuring Zacari,67,20,18,2017-07-15
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,68,1,68,2017-07-15
Flatliner,Cole Swindell,69,18,56,2017-07-15
You Look Good,Lady Antebellum,70,20,59,2017-07-15
No Complaints,Metro Boomin Featuring Offset & Drake,71,5,71,2017-07-15
Do I Make You Wanna,Billy Currington,72,19,47,2017-07-15
To The Max,DJ Khaled Featuring Drake,73,4,53,2017-07-15
Love Galore,SZA Featuring Travis Scott,74,20,32,2017-07-15
Weak,AJR,75,11,73,2017-07-15
Yours If You Want It,Rascal Flatts,76,10,71,2017-07-15
No Such Thing As A Broken Heart,Old Dominion,77,19,46,2017-07-15
Versace On The Floor,Bruno Mars,78,14,33,2017-07-15
Portland,Drake Featuring Quavo & Travis Scott,79,16,9,2017-07-15
How Not To,Dan + Shay,80,14,57,2017-07-15
What Ifs,Kane Brown Featuring Lauren Alaina,81,20,26,2017-07-15
No Promises,Cheat Codes Featuring Demi Lovato,82,23,38,2017-07-15
If I Told You,Darius Rucker,83,11,53,2017-07-15
Feel It Still,Portugal. The Man,84,19,4,2017-07-15
Somebody Else Will,Justin Moore,85,13,59,2017-07-15
Down,Fifth Harmony Featuring Gucci Mane,86,10,42,2017-07-15
Butterfly Effect,Travis Scott,87,22,51,2017-07-15
On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",88,1,88,2017-07-15
Element.,Kendrick Lamar,89,11,16,2017-07-15
Swish Swish,Katy Perry Featuring Nicki Minaj,90,10,46,2017-07-15
Cold,Maroon 5 Featuring Future,91,20,16,2017-07-15
Losin Control,Russ,92,19,62,2017-07-15
Reminder,The Weeknd,93,17,31,2017-07-15
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,94,18,45,2017-07-15
Most Girls,Hailee Steinfeld,95,16,58,2017-07-15
Escapate Conmigo,Wisin Featuring Ozuna,96,20,63,2017-07-15
Good Drank,2 Chainz x Gucci Mane x Quavo,97,16,70,2017-07-15
Shining,DJ Khaled Featuring Beyonce & JAY Z,98,14,57,2017-07-15
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,99,10,76,2017-07-15
It Ain't My Fault,Brothers Osborne,100,16,79,2017-07-15
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,41,1,2017-07-08
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2,22,1,2017-07-08
That's What I Like,Bruno Mars,3,41,1,2017-07-08
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,4,19,2,2017-07-08
Shape Of You,Ed Sheeran,5,42,1,2017-07-08
Humble.,Kendrick Lamar,6,30,1,2017-07-08
Mask Off,Future,7,31,5,2017-07-08
Congratulations,Post Malone Featuring Quavo,8,44,8,2017-07-08
Something Just Like This,The Chainsmokers & Coldplay,9,36,3,2017-07-08
Stay,Zedd & Alessia Cara,10,31,7,2017-07-08
Believer,Imagine Dragons,11,38,4,2017-07-08
XO TOUR Llif3,Lil Uzi Vert,12,31,7,2017-07-08
Body Like A Back Road,Sam Hunt,13,39,6,2017-07-08
Redbone,Childish Gambino,14,44,12,2017-07-08
Issues,Julia Michaels,15,29,11,2017-07-08
Unforgettable,French Montana Featuring Swae Lee,16,29,3,2017-07-08
Say You Won't Let Go,James Arthur,17,52,11,2017-07-08
It Ain't Me,Kygo x Selena Gomez,18,29,10,2017-07-08
There's Nothing Holdin' Me Back,Shawn Mendes,19,27,6,2017-07-08
Bad Liar,Selena Gomez,20,14,20,2017-07-08
Now Or Never,Halsey,21,20,17,2017-07-08
Malibu,Miley Cyrus,22,15,10,2017-07-08
Castle On The Hill,Ed Sheeran,23,33,6,2017-07-08
Slow Hands,Niall Horan,24,26,11,2017-07-08
Attention,Charlie Puth,25,27,5,2017-07-08
iSpy,KYLE Featuring Lil Yachty,26,30,4,2017-07-08
Rolex,Ayo & Teo,27,25,20,2017-07-08
2U,David Guetta Featuring Justin Bieber,28,11,16,2017-07-08
Magnolia,Playboi Carti,29,20,29,2017-07-08
Location,Khalid,30,42,16,2017-07-08
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,31,20,29,2017-07-08
In Case You Didn't Know,Brett Young,32,28,19,2017-07-08
Closer,The Chainsmokers Featuring Halsey,33,52,1,2017-07-08
Strip That Down,Liam Payne Featuring Quavo,34,23,10,2017-07-08
Slippery,Migos Featuring Gucci Mane,35,21,29,2017-07-08
DNA.,Kendrick Lamar,36,20,4,2017-07-08
Everyday We Lit,YFN Lucci Featuring PnB Rock,37,20,33,2017-07-08
Bad And Boujee,Migos Featuring Lil Uzi Vert,38,36,1,2017-07-08
Goosebumps,Travis Scott,39,34,32,2017-07-08
24K Magic,Bruno Mars,40,41,4,2017-07-08
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,41,21,38,2017-07-08
Sign Of The Times,Harry Styles,42,13,4,2017-07-08
Hurricane,Luke Combs,43,22,31,2017-07-08
Tunnel Vision,Kodak Black,44,20,6,2017-07-08
Scars To Your Beautiful,Alessia Cara,45,43,8,2017-07-08
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,46,19,46,2017-07-08
T-Shirt,Migos,47,25,19,2017-07-08
Passionfruit,Drake,48,20,8,2017-07-08
Slide,Calvin Harris Featuring Frank Ocean & Migos,49,20,25,2017-07-08
The Fighter,Keith Urban Featuring Carrie Underwood,50,23,38,2017-07-08
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",51,18,20,2017-07-08
First Day Out,Tee Grizzley,52,20,48,2017-07-08
Craving You,Thomas Rhett Featuring Maren Morris,53,20,39,2017-07-08
Crying In The Club,Camila Cabello,54,9,47,2017-07-08
4 AM,2 Chainz Featuring Travis Scott,55,12,55,2017-07-08
My Girl,Dylan Scott,56,20,39,2017-07-08
The Cure,Lady Gaga,57,14,39,2017-07-08
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",58,20,44,2017-07-08
Every Time I Hear That Song,Blake Shelton,59,11,56,2017-07-08
Look At Me!,XXXTentacion,60,20,34,2017-07-08
First Day Out,Kodak Black,61,1,61,2017-07-08
Love.,Kendrick Lamar Featuring Zacari,62,20,18,2017-07-08
Felices Los 4,Maluma,63,20,48,2017-07-08
Drinkin' Problem,Midland,64,20,45,2017-07-08
How Not To,Dan + Shay,65,14,57,2017-07-08
Privacy,Chris Brown,66,17,62,2017-07-08
You Look Good,Lady Antebellum,67,20,59,2017-07-08
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,68,26,3,2017-07-08
Loyalty.,Kendrick Lamar Featuring Rihanna,69,26,14,2017-07-08
Good Drank,2 Chainz x Gucci Mane x Quavo,70,16,70,2017-07-08
Cold,Maroon 5 Featuring Future,71,20,16,2017-07-08
Portland,Drake Featuring Quavo & Travis Scott,72,16,9,2017-07-08
Flatliner,Cole Swindell,73,18,56,2017-07-08
Weak,AJR,74,11,73,2017-07-08
Small Town Boy,Dustin Lynch,75,20,36,2017-07-08
If I Told You,Darius Rucker,76,11,53,2017-07-08
No Promises,Cheat Codes Featuring Demi Lovato,77,23,38,2017-07-08
To The Max,DJ Khaled Featuring Drake,78,4,53,2017-07-08
Down,Fifth Harmony Featuring Gucci Mane,79,10,42,2017-07-08
No Such Thing As A Broken Heart,Old Dominion,80,19,46,2017-07-08
Love Galore,SZA Featuring Travis Scott,81,20,32,2017-07-08
Yours If You Want It,Rascal Flatts,82,10,71,2017-07-08
Relationship,Young Thug Featuring Future,83,10,65,2017-07-08
Swish Swish,Katy Perry Featuring Nicki Minaj,84,10,46,2017-07-08
Thunder,Imagine Dragons,85,26,5,2017-07-08
Losin Control,Russ,86,19,62,2017-07-08
Reminder,The Weeknd,87,17,31,2017-07-08
My Old Man,Zac Brown Band,88,4,68,2017-07-08
Feel It Still,Portugal. The Man,89,19,4,2017-07-08
What Ifs,Kane Brown Featuring Lauren Alaina,90,20,26,2017-07-08
Most Girls,Hailee Steinfeld,91,16,58,2017-07-08
Somebody Else Will,Justin Moore,92,13,59,2017-07-08
Do I Make You Wanna,Billy Currington,93,19,47,2017-07-08
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,94,10,76,2017-07-08
Butterfly Effect,Travis Scott,95,22,51,2017-07-08
Escapate Conmigo,Wisin Featuring Ozuna,96,20,63,2017-07-08
Nobody Else But You,Trey Songz,97,3,92,2017-07-08
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",98,9,81,2017-07-08
It Ain't My Fault,Brothers Osborne,99,16,79,2017-07-08
Real Hitta,Plies Featuring Kodak Black,100,1,100,2017-07-08
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,41,1,2017-07-01
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2,22,1,2017-07-01
That's What I Like,Bruno Mars,3,41,1,2017-07-01
Shape Of You,Ed Sheeran,4,42,1,2017-07-01
Humble.,Kendrick Lamar,5,30,1,2017-07-01
Mask Off,Future,6,31,5,2017-07-01
Something Just Like This,The Chainsmokers & Coldplay,7,36,3,2017-07-01
Stay,Zedd & Alessia Cara,8,31,7,2017-07-01
Congratulations,Post Malone Featuring Quavo,9,44,8,2017-07-01
XO TOUR Llif3,Lil Uzi Vert,10,31,7,2017-07-01
Body Like A Back Road,Sam Hunt,11,39,6,2017-07-01
Say You Won't Let Go,James Arthur,12,52,11,2017-07-01
Issues,Julia Michaels,13,29,11,2017-07-01
Redbone,Childish Gambino,14,44,12,2017-07-01
Believer,Imagine Dragons,15,38,4,2017-07-01
2U,David Guetta Featuring Justin Bieber,16,11,16,2017-07-01
It Ain't Me,Kygo x Selena Gomez,17,29,10,2017-07-01
Unforgettable,French Montana Featuring Swae Lee,18,29,3,2017-07-01
There's Nothing Holdin' Me Back,Shawn Mendes,19,27,6,2017-07-01
Now Or Never,Halsey,20,20,17,2017-07-01
Castle On The Hill,Ed Sheeran,21,33,6,2017-07-01
iSpy,KYLE Featuring Lil Yachty,22,30,4,2017-07-01
Bad Liar,Selena Gomez,23,14,20,2017-07-01
Slow Hands,Niall Horan,24,26,11,2017-07-01
Malibu,Miley Cyrus,25,15,10,2017-07-01
Rolex,Ayo & Teo,26,25,20,2017-07-01
Attention,Charlie Puth,27,27,5,2017-07-01
Location,Khalid,28,42,16,2017-07-01
Sign Of The Times,Harry Styles,29,13,4,2017-07-01
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,30,20,29,2017-07-01
In Case You Didn't Know,Brett Young,31,28,19,2017-07-01
DNA.,Kendrick Lamar,32,20,4,2017-07-01
Magnolia,Playboi Carti,33,20,29,2017-07-01
Closer,The Chainsmokers Featuring Halsey,34,52,1,2017-07-01
Bad And Boujee,Migos Featuring Lil Uzi Vert,35,36,1,2017-07-01
Slippery,Migos Featuring Gucci Mane,36,21,29,2017-07-01
Everyday We Lit,YFN Lucci Featuring PnB Rock,37,20,33,2017-07-01
Goosebumps,Travis Scott,38,34,32,2017-07-01
24K Magic,Bruno Mars,39,41,4,2017-07-01
Tunnel Vision,Kodak Black,40,20,6,2017-07-01
T-Shirt,Migos,41,25,19,2017-07-01
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,42,21,38,2017-07-01
Hurricane,Luke Combs,43,22,31,2017-07-01
Strip That Down,Liam Payne Featuring Quavo,44,23,10,2017-07-01
Passionfruit,Drake,45,20,8,2017-07-01
Slide,Calvin Harris Featuring Frank Ocean & Migos,46,20,25,2017-07-01
The Fighter,Keith Urban Featuring Carrie Underwood,47,23,38,2017-07-01
The Cure,Lady Gaga,48,14,39,2017-07-01
Scars To Your Beautiful,Alessia Cara,49,43,8,2017-07-01
Swang,Rae Sremmurd,50,26,26,2017-07-01
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,51,19,46,2017-07-01
Craving You,Thomas Rhett Featuring Maren Morris,52,20,39,2017-07-01
To The Max,DJ Khaled Featuring Drake,53,4,53,2017-07-01
Look At Me!,XXXTentacion,54,20,34,2017-07-01
Crying In The Club,Camila Cabello,55,9,47,2017-07-01
First Day Out,Tee Grizzley,56,20,48,2017-07-01
How Not To,Dan + Shay,57,14,57,2017-07-01
Love.,Kendrick Lamar Featuring Zacari,58,20,18,2017-07-01
You Look Good,Lady Antebellum,59,20,59,2017-07-01
My Girl,Dylan Scott,60,20,39,2017-07-01
Every Time I Hear That Song,Blake Shelton,61,11,56,2017-07-01
Swish Swish,Katy Perry Featuring Nicki Minaj,62,10,46,2017-07-01
If I Told You,Darius Rucker,63,11,53,2017-07-01
