SongTitle,Title,PeakPos
Cool Kids,Echosmith,13
Ice Melts,Drake Featuring Young Thug,62
Lo Mejor De Mi Vida Eres Tu,Ricky Martin Featuring Natalia Jimenez,74
Vivir Mi Vida,Marc Anthony,92
I Love You This Big,Scotty McCreery,11
Taboo,Don Omar,97
Electric Body,A$AP Rocky Featuring ScHoolboy Q,80
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,11
Beat This Summer,Brad Paisley,46
Kiss,Prince And The Revolution,83
Where You At,Jennifer Hudson,64
Bridge Over Troubled Water,Tessanne Chin,64
Dirt On My Boots,Jon Pardi,37
Dark Fantasy,"Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver",60
Good Time,Owl City & Carly Rae Jepsen,8
Teenage Fever,Drake,35
Something New,Wiz Khalifa Featuring Ty Dolla $ign,93
The Moment I Knew,Taylor Swift,64
I Mean It,G-Eazy Featuring Remo,98
The Boys of Fall,Kenny Chesney,18
Do They Know It's Christmas? (2014),Band Aid 30,63
Thriller,Michael Jackson,4
Like A Cowboy,Randy Houser,62
iSpy,KYLE Featuring Lil Yachty,4
Moving To Mars,Coldplay,90
Dark Side,Kelly Clarkson,42
Misery,Maroon 5,52
Enchanted,Taylor Swift,75
Girl In A Country Song,Maddie & Tae,54
Boom Clap,Charli XCX,8
V. 3005,Childish Gambino,64
Ball,T.I. Featuring Lil Wayne,50
Dog Days Are Over,Florence + The Machine,68
Man Down,Rihanna,59
Pause,Pitbull,73
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,38
Cough Syrup,Young The Giant,95
Versace,Migos,99
Wesley's Theory,Kendrick Lamar Featuring George Clinton & Thundercat,91
Uptown Funk!,Mark Ronson Featuring Bruno Mars,1
2U,David Guetta Featuring Justin Bieber,16
Let Me Love You,DJ Snake Featuring Justin Bieber,99
Crying In The Club,Camila Cabello,47
Feel.,Kendrick Lamar,35
Molly,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",66
Rollin,Calvin Harris Featuring Future & Khalid,62
Rewind,Rascal Flatts,38
Somebody That I Used To Know,Christina Grimmie & Adam Levine,66
Blown Away,Carrie Underwood,20
Chocolate,The 1975,80
Waiting For The End,Linkin Park,42
My Old Man,Zac Brown Band,68
Lost In The Echo,Linkin Park,95
Fear.,Kendrick Lamar,50
Cheerleader,OMI,1
Just Gettin' Started,Jason Aldean,54
Later On,The Swon Brothers,86
Deuces,Chris Brown Featuring Tyga & Kevin McCall,14
Stereo Hearts,Gym Class Heroes Featuring Adam Levine,92
Fix A Drink,Chris Janson,69
Work Out,J. Cole,13
Own It,Drake,78
Unsteady,X Ambassadors,20
We Still In This B****,B.o.B Featuring T.I. & Juicy J,64
Swang,Rae Sremmurd,26
Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J,40
Beg For It,Iggy Azalea Featuring M0,27
Hello Kitty,Avril Lavigne,75
Cannibal,Ke$ha,77
Monster,Imagine Dragons,96
Like I Can,Sam Smith,99
Rope,Foo Fighters,68
Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda,72
Redneck Crazy,Tyler Farr,29
Sugar,Maroon 5,44
The One That Got Away,Jake Owen,51
The Monster,Eminem Featuring Rihanna,1
P.Y.T. (Pretty Young Thing),Glee Cast,58
Hookah,Tyga Featuring Young Thug,85
Girl On Fire,Alicia Keys Featuring Nicki Minaj,11
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,11
Birthday Song,2 Chainz Featuring Kanye West,47
The Big Bang,Katy Tiz,100
Baby Blue,Action Bronson Featuring Chance The Rapper,91
Bad,Glee Cast,80
Black Magic,Little Mix,67
Perplexing Pegasus,Rae Sremmurd,84
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,29
Another Round,Fat Joe Featuring Chris Brown,80
Superheroes,The Script,73
Heaven,Kane Brown,98
Problem,Ariana Grande Featuring Iggy Azalea,2
Without You,Keith Urban,52
R.I.C.O.,Meek Mill Featuring Drake,40
Unusual,Trey Songz Featuring Drake,68
Last Christmas,Ariana Grande,96
I Will Always Love You,Glee Cast,87
Pumped Up Kicks,Foster The People,3
Bed Of Lies,Nicki Minaj Featuring Skylar Grey,62
Safe & Sound,Taylor Swift Featuring The Civil Wars,30
Bad B*tch,French Montana Featuring Jeremih,95
Leave Your Lover,Sam Smith,92
Tonight (Best You Ever Had),John Legend Featuring Ludacris,79
Bad At Love,Halsey,31
I Feel It Coming,The Weeknd Featuring Daft Punk,4
The Heart Part 4,Kendrick Lamar,22
In The Name Of Love,Martin Garrix & Bebe Rexha,24
Dreams,Glee Cast Featuring Kristin Chenoweth,92
T-Shirt,Thomas Rhett,41
Brand New,Ben Rector,82
Fly S**t Only,Future,67
Bottoms Up,Trey Songz Featuring Nicki Minaj,20
Bad Things,Machine Gun Kelly x Camila Cabello,4
When You're Young,3 Doors Down,81
Work,Iggy Azalea,100
All Of Me,John Legend,1
Ain't Worried About Nothin,French Montana,63
All We Know,The Chainsmokers Featuring Phoebe Ryan,18
So Good,B.o.B,11
You Look Like I Need A Drink,Justin Moore,79
Tuesday,I LOVE MAKONNEN Featuring Drake,12
What The Water Gave Me,Florence + The Machine,91
I Won,Future Featuring Kanye West,98
Closer,Tegan And Sara,90
Thank You,Estelle,100
Eraser,Ed Sheeran,90
Wake Up,Fetty Wap,50
Lost Without U,Chris Jamison & Adam Levine,63
I Knew You Were Trouble,Michelle Chamuel,85
Recovery,Justin Bieber,41
Don't Stop (Color On The Walls),Foster The People,86
1994,Jason Aldean,52
I Got You,Bebe Rexha,88
Baby Don't Lie,Gwen Stefani,46
All Of The Lights,Kanye West,18
La La La,Naughty Boy Featuring Sam Smith,19
We Owned The Night,Lady Antebellum,31
Be Real,Kid Ink Featuring DeJ Loaf,43
That's My Kind Of Night,Luke Bryan,15
Just A Kiss,Lady Antebellum,7
Wings,Little Mix,79
Seein' Red,Dustin Lynch,55
Kush,Dr. Dre Featuring Snoop Dogg & Akon,34
On The Floor,Jennifer Lopez Featuring Pitbull,3
Criminal,Britney Spears,55
Climb Every Mountain,Jordan Smith,72
Goodbye Town,Lady Antebellum,80
CoCo,O.T. Genasis,20
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,12
Yah.,Kendrick Lamar,32
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",15
Lush Life,Zara Larsson,75
Levitate,Hadouken!,69
Don't You Worry Child,Swedish House Mafia Featuring John Martin,6
Burning House,Cam,56
Friday,Rebecca Black,58
Sing,My Chemical Romance,58
Baby,Glee Cast,47
New Flame,Chris Brown Featuring Usher & Rick Ross,27
I Will Wait,Mumford & Sons,12
Stubborn Love,The Lumineers,70
Irresistible,Fall Out Boy,48
We Can't Stop,Miley Cyrus,2
Quickie,Miguel,62
Kiss You In The Morning,Michael Ray,55
Bad Blood,Taylor Swift Featuring Kendrick Lamar,95
Put It Down,Brandy Featuring Chris Brown,65
XO,Beyonce,90
Wide Awake,Katy Perry,2
Feds Watching,2 Chainz Featuring Pharrell,66
Should've Been Us,Tori Kelly,51
I'll Name The Dogs,Blake Shelton,70
Make Me Wanna,Thomas Rhett,43
Walking,Mary Mary,94
Don't Hurt Yourself,Beyonce Featuring Jack White,28
The Motto,Drake Featuring Lil Wayne,14
Stolen Dance,Milky Chance,39
One Man Can Change The World,Big Sean Featuring Kanye West & John Legend,82
Love Me Now,John Legend,23
Dear Hate,Maren Morris Featuring Vince Gill,91
I Don't F**k With You,Big Sean Featuring E-40,11
Baby Be My Love Song,Easton Corbin,56
The Time (Dirty Bit),The Black Eyed Peas,4
Down In The DM,Yo Gotti Featuring Nicki Minaj,13
Right Now,Rihanna Featuring David Guetta,50
Glow,Drake Featuring Kanye West,54
Let It Be,Tessanne Chin & Adam Levine,76
Nobody's Perfect,J. Cole Featuring Missy Elliott,61
It Ain't Me,Kygo x Selena Gomez,10
18,One Direction,87
Play Hard,David Guetta Featuring Ne-Yo & Akon,64
Best Day Of My Life,American Authors,11
Just The Way You Are,Glee Cast,40
Change,J. Cole,21
Madiba Riddim,Drake,51
Hit Me With Your Best Shot / One Way Or Another,Glee Cast,86
Just A Dream,Nelly,3
Drive By,Train,10
Black Or White,Glee Cast,64
Me Enamore,Shakira,83
Not Afraid Anymore,Halsey,77
How I'll Always Be,Tim McGraw,70
As Long As You Love Me (Acoustic),Justin Bieber,98
Waves,Kanye West,71
Drunk Last Night,Eli Young Band,41
Love Myself,Hailee Steinfeld,30
Whispers In The Dark,Mumford & Sons,81
Daddy,PSY Featuring CL,97
I Will Never Let You Down,Rita Ora,77
Mr. Know It All,Kelly Clarkson,10
Finally Found You,Enrique Iglesias Featuring Sammy Adams,24
Sorry,Rick Ross Featuring Chris Brown,97
Love Don't Die,The Fray,60
Most Girls,Hailee Steinfeld,58
Record Year,Eric Church,44
What Lovers Do,Maroon 5 Featuring SZA,12
Bully,Shinedown,94
I Hold On,Dierks Bentley,40
Holy Key,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",84
Make It Nasty,Tyga,91
I'm Not The Only One,Sam Smith,5
Lights Come On,Jason Aldean,43
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,43
Cough Syrup,Glee Cast,95
Dusk Till Dawn,Zayn Featuring Sia,44
Red Solo Cup,Glee Cast,92
Hey Brother,Avicii,16
Let It Go,Demi Lovato,87
Trust,Justin Bieber,98
Settle Down,No Doubt,34
Grenade,Bruno Mars,1
Boyfriend,Big Time Rush,96
Cowboys And Angels,Dustin Lynch,40
Let There Be Cowgirls,Chris Cagle,96
Freak The Freak Out,Victorious Cast Featuring Victoria Justice,50
Lover's Eyes,Mumford & Sons,85
T-Shirt,Migos,41
How I Feel,Flo Rida,96
Lucky,Glee Cast,27
First Day Out,Tee Grizzley,61
Roll With It,Easton Corbin,55
Unforgettable,Thomas Rhett,47
Bom Bidi Bom,Nick Jonas & Nicki Minaj,54
Treat You Better,Shawn Mendes,6
What You Want,Evanescence,68
I Hit It First,Ray J Featuring Bobby Brackins,51
Antidote,Travis Scott,16
Sick,New Hollow,86
Might Not,Belly Featuring The Weeknd,68
Days Of Gold,Jake Owen,83
Ordinary Life,The Weeknd,72
El Amante,Nicky Jam,92
Roll In Peace,Kodak Black Featuring XXXTENTACION,53
"Ulay, Oh",How I Became The Bomb,58
The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,38
Party On Fifth Ave.,Mac Miller,64
Live My Life,Far*East Movement Featuring Justin Bieber,21
For The First Time,The Script,23
Next To You,Chris Brown Featuring Justin Bieber,26
Pray You Catch Me,Beyonce,37
My Last,Big Sean Featuring Chris Brown,30
As Your Friend,Afrojack Featuring Chris Brown,88
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,13
All Bad,Justin Bieber,50
Feel It Still,Portugal. The Man,4
Fix,Chris Lane,65
Adventure Of A Lifetime,Coldplay,13
Treasure,Bruno Mars,5
You,Chris Young,97
Talking Body,Tove Lo,12
Extra Luv,Future Featuring YG,99
6 Inch,Beyonce Featuring The Weeknd,18
She Looks So Perfect,5 Seconds Of Summer,24
Good To Be Alive (Hallelujah),Andy Grammer,62
OOOUUU,Young M.A,19
The Show Goes On,Lupe Fiasco,9
Bottoms Up,Brantley Gilbert,20
Don't Wake Me Up,Chris Brown,10
Pretty Good At Drinkin' Beer,Billy Currington,41
Faded,Alan Walker,80
Between The Raindrops,Lifehouse Featuring Natasha Bedingfield,79
Can't Help Falling In Love,Christina Grimmie,74
California King Bed,Rihanna,37
Kiss Tomorrow Goodbye,Luke Bryan,29
Blackbird,Glee Cast,37
Praying,Kesha,22
Malibu,Miley Cyrus,10
Dark Necessities,Red Hot Chili Peppers,67
XO,John Mayer,90
Black Horse And The Cherry Tree,Casey Weston,90
Yeah,Joe Nichols,41
Rap Song,T-Pain Featuring Rick Ross,89
How Long,Charlie Puth,52
Friday,Glee Cast,58
Am I Wrong,Nico & Vinz,4
La Isla Bonita,Glee Cast Featuring Ricky Martin,99
Snitches Ain't...,"YG Featuring Tyga, Snoop Dogg & Nipsey Hussle",100
Wasted,Tiesto Featuring Matthew Koma,49
Arms,Christina Perri,94
Fun,Pitbull Featuring Chris Brown,40
Little Toy Guns,Carrie Underwood,47
Hate Sleeping Alone,Drake,67
King Wizard,Kid Cudi,91
Turning Tables,Glee Cast Featuring Gwyneth Paltrow,66
What If,Jason Derulo,77
Double Vision,3OH!3,87
Lose You,Drake,64
I Luv This Sh*t,August Alsina Featuring Trinidad James,48
Paranoid,Ty Dolla $ign Featuring B.o.B,29
Photograph,Ed Sheeran,10
Do Re Mi,Blackbear,40
Emperor's New Clothes,Panic! At The Disco,68
Beat Of The Music,Brett Eldredge,44
She's Kinda Hot,5 Seconds Of Summer,22
Footloose,Blake Shelton,63
Goodnight Kiss,Randy Houser,52
Country Must Be Country Wide,Brantley Gilbert,50
Focused,Wale Featuring Kid Cudi,97
Smoke,A Thousand Horses,47
The Prayer,Christina Aguilera & Chris Mann,85
For Her,Chris Lane,92
Under Pressure,Queen & David Bowie,29
I Won't Give Up,Jana Kramer,75
24 Hours,TeeFLii Featuring 2 Chainz,85
Wet The Bed,Chris Brown Featuring Ludacris,77
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,19
Point At You,Justin Moore,53
This Ain't No Love Song,Trace Adkins,88
Back In Time,Pitbull,11
Ready,Fabolous Featuring Chris Brown,93
Perfect,Glee Cast,57
Last Friday Night (T.G.I.F.),Katy Perry,1
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",39
Stupid Boy,Cassadee Pope,40
On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",88
This Is What You Came For,Calvin Harris Featuring Rihanna,3
No Limit,Usher Featuring Young Thug,32
American Country Love Song,Jake Owen,55
That's What I Like,Bruno Mars,1
Style,Taylor Swift,6
Work It,"Missy ""Misdemeanor"" Elliott",2
7 Years,Lukas Graham,2
Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,55
Ayo,Chris Brown & Tyga,21
Slave To The Rhythm,Michael Jackson,45
Apparently,J. Cole,58
Hearts Don't Break Around Here,Ed Sheeran,93
Can't Raise A Man,K. Michelle,94
6 God,Drake,83
Teenage Daughters,Martina McBride,100
Somethin' 'Bout A Truck,Kip Moore,29
Never Be Like You,Flume Featuring Kai,20
Adorn,Miguel,17
Toothbrush,DNCE,44
(I've Had) The Time Of My Life,Glee Cast,38
Good Lovin,Ludacris Featuring Miguel,91
The Feeling,Justin Bieber Featuring Halsey,31
"River Deep, Mountain High",Glee Cast,41
Yuck!,2 Chainz Featuring Lil Wayne,80
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,4
Skyfall,Adele,8
Never Going Back Again,Glee Cast,81
Found You,Kane Brown,80
Drink On It,Blake Shelton,39
Love Like Woe,The Ready Set,27
Die A Happy Man,Nelly,83
Christmas Lights,Coldplay,25
10 Bands,Drake,58
Mistletoe,Justin Bieber,11
Lonely Boy,The Black Keys,64
Stitches,Shawn Mendes,4
As Long As You Love Me,Justin Bieber Featuring Big Sean,6
"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White,43
WTF (Where They From),Missy Elliott Featuring Pharrell Williams,22
"Heads Carolina, Tails California",Danielle Bradbery,91
Feliz Navidad,Jose Feliciano,44
Is Anybody Out There?,K'Naan Featuring Nelly Furtado,92
Rent Money,Future,54
Paris,The Chainsmokers,6
Me Too,Meghan Trainor,13
Let It Go,Wiz Khalifa Featuring Akon,87
Daddy Lessons,Beyonce,41
That's All She Wrote,T.I. Featuring Eminem,18
This Could Be Us,Rae Sremmurd,49
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan,37
Uber Everywhere,MadeinTYO,51
Turn Me On,David Guetta Featuring Nicki Minaj,4
Never Gonna Leave This Bed,Maroon 5,55
More,Usher,15
Old School Love,Lupe Fiasco Featuring Ed Sheeran,93
Try Everything,Shakira,63
You & I (Nobody In The World),John Legend,66
No Fear,DeJ Loaf,100
A Thousand Years,Christina Perri,94
If The Boot Fits,Granger Smith,80
Solo,Frank Ocean,96
Whatever She's Got,David Nail,35
Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travi$ Scott, Yo Gotti, Quavo, Desiigner",71
Long Live,Taylor Swift,85
One In A Million,Ne-Yo,87
Moves Like Jagger / Jumpin' Jack Flash,Glee Cast,62
Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,38
Animal,Glee Cast,62
Bass Down Low,Dev Featuring The Cataracs,61
My Body,Young The Giant,65
This,Darius Rucker,51
Kiss It Better,Rihanna,62
#Beautiful,Mariah Carey Featuring Miguel,15
When It Rains It Pours,Luke Combs,33
Don't Stop,5 Seconds Of Summer,79
How To Hate,Lil Wayne Featuring T-Pain,84
I Bet My Life,Imagine Dragons,28
Dancing Queen,Glee Cast,74
Right There,Ariana Grande Featuring Big Sean,84
With You Tonight / Hasta El Amanecer,Nicky Jam,73
Thinking About You,Calvin Harris Featuring Ayah Marar,86
It Goes Like This,Thomas Rhett,25
God Made Girls,RaeLynn,61
Wildfire,John Mayer,85
Started From The Bottom,Drake,6
Gonna,Blake Shelton,54
Barbra Streisand,Duck Sauce,89
Somebody That I Used To Know,Gotye Featuring Kimbra,66
Calm Down,Busta Rhymes Featuring Eminem,94
Shinin' On Me,Jerrod Niemann,92
Heart Attack,Trey Songz,88
I'm The Plug,Drake & Future,76
Unbroken,Demi Lovato,98
One Dance,Drake Featuring WizKid & Kyla,1
You The Boss,Rick Ross Featuring Nicki Minaj,62
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,13
Man In The Mirror,Adam Levine & Javier Colon,76
All I Want Is You,Miguel Featuring J. Cole,58
Watch Me,Bella Thorne & Zendaya,86
Raise Your Glass,P!nk,36
I Got You,Thompson Square,88
Rumour Has It / Someone Like You,Glee Cast,11
Look Alive,Rae Sremmurd,72
Not Over You,Gavin DeGraw,18
Came Here To Forget,Blake Shelton,36
Glory And Gore,Lorde,68
Lay It Down,Lloyd,64
Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",47
G.U.Y.,Lady Gaga,76
Get Used To It,Justin Bieber,90
I Got The Keys,DJ Khaled Featuring Jay Z & Future,30
My Hitta,YG Featuring Jeezy & Rich Homie Quan,19
Underneath The Tree,Kelly Clarkson,78
No Frauds,"Nicki Minaj, Drake & Lil Wayne",14
Someone Like You,Adele,1
It's Time,Glee Cast,95
I Am Woman,Jordin Sparks,82
Walk,Foo Fighters,83
The Man,Aloe Blacc,8
Long Hot Summer,Keith Urban,45
Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,32
Smile,Avril Lavigne,68
Broccoli,D.R.A.M. Featuring Lil Yachty,5
I'll Be Home For Christmas,Kelly Clarkson,93
How Not To,Dan + Shay,57
Down That Road,Alisan Porter,100
Runaways,The Killers,78
You & I,One Direction,68
Changed,Rascal Flatts,73
We Are Young,Glee Cast,12
It's Everyday Bro,Jake Paul Featuring Team 10,94
Midnight,Coldplay,29
I Get The Bag,Gucci Mane Featuring Migos,11
A Guy With A Girl,Blake Shelton,42
More Girls Like You,Kip Moore,66
Start Me Up / Livin' On A Prayer,Glee Cast,31
Wipe Your Eyes,Maroon 5,80
Kelly Price,Migos Featuring Travis Scott,58
Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,79
Keep Me In Mind,Zac Brown Band,35
Prayer In C,Lillywood & Robin Schulz,23
Die Young,Ke$ha,2
Go Your Own Way,Glee Cast,45
They Don't Know,Rico Love,73
What Do You Want,Jerrod Niemann,52
Where Ya At,Future Featuring Drake,28
Rack City,Tyga,7
Sail,AWOLNATION,17
100,The Game Featuring Drake,82
Work,Rihanna Featuring Drake,100
At Last,Sundance Head,89
Close,Nick Jonas Featuring Tove Lo,14
Clouds,Zach Sobiech,26
Hands To Myself,Selena Gomez,7
Hello Friday,Flo Rida Featuring Jason Derulo,79
Jar Of Hearts,Christina Perri,49
She Knows,Ne-Yo Featuring Juicy J,90
Who Dat Girl,Flo Rida Featuring Akon,29
Kill Em With Kindness,Selena Gomez,39
Major Minus,Coldplay,92
We The People....,A Tribe Called Quest,77
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,9
Magnolia,Playboi Carti,29
"For You, And Your Denial",Yellowcard,100
Love Yourself,Justin Bieber,1
Hey Girl,Billy Currington,39
Break The Rules,Charli XCX,91
Duele El Corazon,Enrique Iglesias Featuring Wisin,82
Something In The Water,Carrie Underwood,24
Cake By The Ocean,DNCE,9
Back To Sleep,Chris Brown,20
Hold Tight,Justin Bieber,29
God Only Knows,Jordan Smith & Adam Levine,90
POWER,Kanye West,22
Ultraviolence,Lana Del Rey,70
Under And Over It,Five Finger Death Punch,77
Yesterday,Adam Levine & Tony Lucca,68
Bruises,Train Featuring Ashley Monroe,79
Y.U. Mad,Birdman Featuring Nicki Minaj & Lil Wayne,68
Jorja Interlude,Drake,49
Counting Stars,OneRepublic,2
Too Much,Drake,64
Play The Guitar,B.o.B Featuring Andre 3000,98
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,4
We Own The Night,The Wanted,94
My Homies Still,Lil Wayne Featuring Big Sean,38
The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,40
I Walk The Line,Craig Wayne Boyd,84
Forget You,Glee Cast Featuring Gwyneth Paltrow,11
Cheers (Drink To That),Rihanna,7
Now & Forever,Drake,95
Little Bit Of Everything,Keith Urban,33
Just Hold On,Steve Aoki & Louis Tomlinson,52
My PYT,Wale,54
Hallelujah,Jordan Smith,81
Love Somebody,Maroon 5,10
Can't Shake You,Gloriana,83
Marry You,Bruno Mars,85
Fever,The Black Keys,77
It's A Beautiful Day,Michael Buble,94
Numb,Usher,69
Wild Things,Alessia Cara,50
Depression & Obsession,XXXTentacion,91
Your Body,Christina Aguilera,34
Handsome And Wealthy,Migos,79
Try Me,DeJ Loaf,45
2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,31
Too Close,Melanie Martinez,94
Smile,JAY-Z Featuring Gloria Carter,68
Perfect Storm,Brad Paisley,52
Purple Lamborghini,Skrillex & Rick Ross,33
Temporary Fix,One Direction,96
Castle On The Hill,Ed Sheeran,6
Chains,Nick Jonas,13
Life Of The Party,Shawn Mendes,24
Say Something,A Great Big World & Christina Aguilera,4
Piece By Piece,Kelly Clarkson,8
Caught Their Eyes,JAY-Z Featuring Frank Ocean,63
Heart Attack,Enrique Iglesias,88
Faded,Tyga Featuring Lil Wayne,80
Weak,AJR,73
Hot Boy,Bobby Shmurda,6
Not For Long,B.o.B Featuring Trey Songz,80
HandClap,Fitz And The Tantrums,53
Hard To Love,Lee Brice,27
For Good,Glee Cast,58
September,Daughtry,36
No BS,Chris Brown,62
80s Mercedes,Maren Morris,74
Everything I Shouldn't Be Thinking About,Thompson Square,69
No Love,Eminem Featuring Lil Wayne,69
Mine,Beyonce Featuring Drake,82
Camouflage,Brad Paisley,87
Little Bad Girl,David Guetta Featuring Taio Cruz & Ludacris,70
Rap God,Eminem,7
Wyclef Jean,Young Thug,87
No Money,Galantis,88
Dope,Lady Gaga,68
You Sound Good To Me,Lucy Hale,88
Opposite Of Adults,Chiddy Bang,90
We No Speak Americano,Yolanda Be Cool & Dcup,29
I Got You,Jack Johnson,88
Wild Ones,Flo Rida Featuring Sia,5
That Way,Wale Featuring Jeremih & Rick Ross,49
Blunt Blowin,Lil Wayne,33
CRZY,Kehlani,85
Check It Out,will.i.am & Nicki Minaj,24
Immortals,Fall Out Boy,72
Eyes Open,Taylor Swift,19
Let's Go Crazy,Prince And The Revolution,1
Gonna Wanna Tonight,Chase Rice,67
Everybody Talks,Neon Trees,6
Dancing On My Own,Calum Scott,93
Trophies,Young Money Featuring Drake,50
Too Much To Ask,Niall Horan,66
Heavy Heart,Meek Mill,99
Take Me Or Leave Me,Glee Cast,51
Country Girl (Shake It For Me),Luke Bryan,22
Wrecking Ball,Miley Cyrus,1
Summer Nights,Glee Cast,88
Marry Me,Train,34
Trumpets,Jason Derulo,14
Lights,Ellie Goulding,2
How Will I Know,Whitney Houston,65
Nobody Love,Tori Kelly,60
Bad Blood,Bastille,95
Hangover,Taio Cruz Featuring Flo Rida,62
Jam,"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",97
Turn Around (5 4 3 2 1),Flo Rida,98
Little Red Wagon,Miranda Lambert,55
Wins & Losses,Meek Mill,79
Feel So Close,Calvin Harris,12
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,4
Bills,LunchMoney Lewis,79
Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,48
Jingle Bell Rock,Bobby Helms,29
Bumpin' The Night,Florida Georgia Line,69
Ain't My Fault,Zara Larsson,76
Sweatshirt,Jacob Sartorius,90
Top Of The World,Tim McGraw,73
Brave,Sara Bareilles,23
Little Bit Of You,Chase Bryant,71
Make Me Proud,Drake Featuring Nicki Minaj,9
Adore,Cashmere Cat Featuring Ariana Grande,93
We Are,Justin Bieber Featuring Nas,88
Middle Of A Memory,Cole Swindell,46
Break Up In A Small Town,Sam Hunt,29
I Can't Love You Back,Easton Corbin,76
Pray,Justin Bieber,61
Love To Lay,The Weeknd,71
You Make Me,Avicii,85
You're Mine (Eternal),Mariah Carey,88
Sangria,Blake Shelton,38
Cashin' Out,Ca$h Out,36
Freedom,Beyonce Featuring Kendrick Lamar,35
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",20
Stereo Hearts,Glee Cast,92
Bang Bang Bang,Selena Gomez & The Scene,94
This Is What It Feels Like,Armin van Buuren Featuring Trevor Guthrie,96
About The Money,T.I. Featuring Young Thug,42
You And Tequila,Kenny Chesney Featuring Grace Potter,33
Versace On The Floor,Bruno Mars,33
Don't Stop The Party,The Black Eyed Peas,86
Easy,Rascal Flatts Featuring Natasha Bedingfield,72
River Bank,Brad Paisley,54
Shake Up Christmas,Train,99
Ready Set Roll,Chase Rice,54
Without You,David Guetta Featuring Usher,52
Love All Over Me,Monica,58
Bellas Finals: Price Tag / Don't You (Forget About Me)...,The Barden Bellas,85
Midnight Memories,One Direction,12
Smoke A Little Smoke,Eric Church,78
Good Feeling,Flo Rida,3
My Eyes,Blake Shelton Featuring Gwen Sebastian,39
Round Here Buzz,Eric Church,86
Hallelujah,Pentatonix,81
True Love,P!nk Featuring Lily Allen,53
Everyday,A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,92
Jungle,Jamie N Commons & X Ambassadors,87
Goodbye In Her Eyes,Zac Brown Band,48
Welcome To My Hood,"DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain",79
Odio,Romeo Santos Featuring Drake,45
Time Is Love,Josh Turner,44
Dance Like We're Making Love,Ciara,100
Up All Night,Jon Pardi,65
Farmer's Daughter,Rodney Atkins,47
Famous,Kanye West,94
"Hold On, We're Going Home",Drake Featuring Majid Jordan,74
UnFazed,Lil Uzi Vert Featuring The Weeknd,84
When I Was Your Man,Chris Jamison,98
King Kunta,Kendrick Lamar,58
Issues,Meek Mill,77
Change Me,Justin Bieber,59
Fire & Desire,Drake,75
Jet Black Heart,5 Seconds Of Summer,95
Out The Speakers,A-Trak + Milo & Otis Featuring Rich Kidz,98
Gotta Have It,Jay Z Kanye West,69
Keep Them Kisses Comin',Craig Campbell,72
LoveHate Thing,Wale Featuring Sam Dew,89
2 Reasons,Trey Songz Featuring T.I.,43
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1
Traveller,Chris Stapleton,87
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,43
Boyz-N-The Hood,Eazy-E,50
La Bicicleta,Carlos Vives & Shakira,95
